Time (CAT);Open;High;Low;Close;Volume 
2011-05-30 03:00:00;80,888;80,892;80,758;80,785;17352,66
2011-05-30 07:00:00;80,786;80,87;80,761;80,818;18425,81
2011-05-30 11:00:00;80,817;80,878;80,769;80,86;9072,34
2011-05-30 15:00:00;80,864;80,977;80,811;80,93;8227,28
2011-05-30 19:00:00;80,931;80,969;80,861;80,913;4982,78
2011-05-30 23:00:00;80,906;81,026;80,736;80,846;19135,31
2011-05-31 03:00:00;80,846;81,371;80,71;81,228;29533,77
2011-05-31 07:00:00;81,228;81,769;81,205;81,499;36667,09
2011-05-31 11:00:00;81,498;81,644;81,457;81,628;21702,26
2011-05-31 15:00:00;81,628;81,651;81,17;81,329;32641,23
2011-05-31 19:00:00;81,33;81,557;81,31;81,508;15135,13
2011-05-31 23:00:00;81,507;81,559;81,252;81,44;10235,49
2011-06-01 03:00:00;81,439;81,459;81,15;81,261;13213,61
2011-06-01 07:00:00;81,262;81,5;81,24;81,345;29501,73
2011-06-01 11:00:00;81,352;81,396;80,808;80,886;27353,97
2011-06-01 15:00:00;80,888;80,954;80,661;80,907;34401,34
2011-06-01 19:00:00;80,905;80,989;80,844;80,932;20327,4
2011-06-01 23:00:00;80,931;81,126;80,836;81,09;12538,07
2011-06-02 03:00:00;81,089;81,321;80,891;80,939;19834,2
2011-06-02 07:00:00;80,936;81,059;80,809;80,927;34876,77
2011-06-02 11:00:00;80,927;80,94;80,555;80,782;33475,61
2011-06-02 15:00:00;80,786;81,022;80,69;80,847;32247,64
2011-06-02 19:00:00;80,847;80,949;80,794;80,886;19349,47
2011-06-02 23:00:00;80,881;81,012;80,787;80,828;12000,13
2011-06-03 03:00:00;80,826;80,826;80,669;80,764;9758,35
2011-06-03 07:00:00;80,764;80,764;80,559;80,57;25463,16
2011-06-03 11:00:00;80,574;80,69;80,049;80,251;30587,59
2011-06-03 15:00:00;80,251;80,653;80,16;80,268;40557,89
2011-06-03 19:00:00;80,262;80,333;80,164;80,238;15050,72
2011-06-05 23:00:00;80,207;80,39;80,167;80,172;14866,3
2011-06-06 03:00:00;80,172;80,312;80,164;80,297;9581,02
2011-06-06 07:00:00;80,297;80,364;80,128;80,14;23964,13
2011-06-06 11:00:00;80,14;80,255;79,977;80,184;25591,84
2011-06-06 15:00:00;80,181;80,255;80,091;80,171;20571,35
2011-06-06 19:00:00;80,171;80,213;80,039;80,089;14158,5
2011-06-06 23:00:00;80,085;80,229;80,063;80,199;8697,04
2011-06-07 03:00:00;80,201;80,327;80,16;80,32;13054,98
2011-06-07 07:00:00;80,318;80,329;80,159;80,186;24400,52
2011-06-07 11:00:00;80,188;80,272;80,162;80,189;17192,67
2011-06-07 15:00:00;80,19;80,259;80,135;80,151;23064,83
2011-06-07 19:00:00;80,147;80,179;79,983;80,094;18964,06
2011-06-07 23:00:00;80,089;80,279;80,046;80,151;10849,26
2011-06-08 03:00:00;80,15;80,156;79,749;80,052;23196,81
2011-06-08 07:00:00;80,048;80,172;79,805;79,853;30533,31
2011-06-08 11:00:00;79,852;79,936;79,694;79,849;26365,75
2011-06-08 15:00:00;79,849;79,915;79,762;79,853;26209,63
2011-06-08 19:00:00;79,855;79,974;79,782;79,884;19362,35
2011-06-08 23:00:00;79,876;80,051;79,834;80,018;12931,48
2011-06-09 03:00:00;80,019;80,297;79,969;80,052;21677,26
2011-06-09 07:00:00;80,052;80,208;79,981;79,995;21933,65
2011-06-09 11:00:00;79,994;80,145;79,929;80,076;28752,48
2011-06-09 15:00:00;80,075;80,252;80,051;80,093;32449,15
2011-06-09 19:00:00;80,094;80,416;80,085;80,353;21657,89
2011-06-09 23:00:00;80,343;80,46;80,219;80,221;10799,91
2011-06-10 03:00:00;80,222;80,233;80,024;80,097;24384,99
2011-06-10 07:00:00;80,097;80,166;79,963;80,055;25811,45
2011-06-10 11:00:00;80,056;80,248;80,018;80,175;23621,9
2011-06-10 15:00:00;80,175;80,277;80,067;80,249;29409,47
2011-06-10 19:00:00;80,252;80,387;80,217;80,292;16483,9
2011-06-12 23:00:00;80,311;80,456;80,251;80,441;10402,6
2011-06-13 03:00:00;80,441;80,687;80,431;80,531;14236,37
2011-06-13 07:00:00;80,532;80,551;80,307;80,378;19839,35
2011-06-13 11:00:00;80,379;80,466;80,231;80,378;21347,28
2011-06-13 15:00:00;80,378;80,416;80,113;80,213;27348,74
2011-06-13 19:00:00;80,212;80,277;80,15;80,225;19842,96
2011-06-13 23:00:00;80,218;80,242;80,083;80,195;8413,92
2011-06-14 03:00:00;80,196;80,273;80,152;80,266;11739,93
2011-06-14 07:00:00;80,264;80,451;80,204;80,239;26825,77
2011-06-14 11:00:00;80,237;80,57;80,129;80,51;27280,42
2011-06-14 15:00:00;80,522;80,622;80,458;80,513;28728,81
2011-06-14 19:00:00;80,514;80,59;80,403;80,476;15645,45
2011-06-14 23:00:00;80,471;80,637;80,4;80,518;12891,78
2011-06-15 03:00:00;80,518;80,521;80,379;80,496;14324,68
2011-06-15 07:00:00;80,5;80,753;80,434;80,73;24405,3
2011-06-15 11:00:00;80,73;81,052;80,637;80,856;27273,93
2011-06-15 15:00:00;80,858;80,905;80,588;80,792;34193,93
2011-06-15 19:00:00;80,792;81,055;80,792;80,933;21266,32
2011-06-15 23:00:00;80,927;81,049;80,828;80,92;10242,53
2011-06-16 03:00:00;80,925;81,025;80,907;80,972;13321,67
2011-06-16 07:00:00;80,972;81,008;80,48;80,671;36912,98
2011-06-16 11:00:00;80,669;80,932;80,546;80,864;39499,68
2011-06-16 15:00:00;80,864;80,938;80,615;80,716;37737,49
2011-06-16 19:00:00;80,715;80,757;80,591;80,63;21932,19
2011-06-16 23:00:00;80,634;80,66;80,478;80,627;10296,67
2011-06-17 03:00:00;80,625;80,671;80,548;80,58;11344,92
2011-06-17 07:00:00;80,578;80,65;80,391;80,427;24134,58
2011-06-17 11:00:00;80,429;80,47;80,194;80,282;30729,97
2011-06-17 15:00:00;80,281;80,287;80,02;80,155;30230,41
2011-06-17 19:00:00;80,154;80,173;80,008;80,01;14480,28
2011-06-19 23:00:00;80,124;80,206;80,039;80,154;8904,1
2011-06-20 03:00:00;80,154;80,227;80,095;80,197;11801,15
2011-06-20 07:00:00;80,197;80,329;80,021;80,22;25318,1
2011-06-20 11:00:00;80,223;80,366;80,2;80,228;22106,3
2011-06-20 15:00:00;80,228;80,31;80,089;80,242;21484,8
2011-06-20 19:00:00;80,247;80,311;80,194;80,252;12790,68
2011-06-20 23:00:00;80,249;80,339;80,16;80,169;8191,62
2011-06-21 03:00:00;80,168;80,194;80,084;80,158;11536,86
2011-06-21 07:00:00;80,156;80,226;80,13;80,199;16892,3
2011-06-21 11:00:00;80,199;80,233;80,05;80,102;17177,01
2011-06-21 15:00:00;80,105;80,196;80,072;80,12;17950,01
2011-06-21 19:00:00;80,12;80,241;80,101;80,192;11028,79
2011-06-21 23:00:00;80,191;80,321;80,17;80,242;8090,97
2011-06-22 03:00:00;80,242;80,267;80,183;80,257;5643,83
2011-06-22 07:00:00;80,257;80,333;80,157;80,191;16460,58
2011-06-22 11:00:00;80,191;80,249;80,079;80,128;16099,05
2011-06-22 15:00:00;80,129;80,168;80,011;80,146;23269,02
2011-06-22 19:00:00;80,146;80,378;80,126;80,278;21399,42
2011-06-22 23:00:00;80,278;80,516;80,275;80,503;9795,44
2011-06-23 03:00:00;80,504;80,64;80,383;80,448;13345,6
2011-06-23 07:00:00;80,451;80,613;80,332;80,508;21645,5
2011-06-23 11:00:00;80,508;80,79;80,502;80,727;24471,25
2011-06-23 15:00:00;80,727;80,737;80,38;80,511;26523,69
2011-06-23 19:00:00;80,511;80,637;80,461;80,489;23150,56
2011-06-23 23:00:00;80,49;80,569;80,388;80,492;9738,39
2011-06-24 03:00:00;80,49;80,512;80,426;80,506;8304,49
2011-06-24 07:00:00;80,508;80,6;80,161;80,203;23531,56
2011-06-24 11:00:00;80,202;80,34;80,134;80,231;26899,03
2011-06-24 15:00:00;80,229;80,461;80,199;80,371;22197,3
2011-06-24 19:00:00;80,373;80,503;80,336;80,389;15288,08
2011-06-26 23:00:00;80,326;80,878;80,312;80,773;13042,5
2011-06-27 03:00:00;80,773;80,783;80,662;80,748;8686,53
2011-06-27 07:00:00;80,75;80,855;80,686;80,748;20748,09
2011-06-27 11:00:00;80,748;80,855;80,625;80,853;22615,77
2011-06-27 15:00:00;80,854;80,979;80,809;80,908;27155,93
2011-06-27 19:00:00;80,908;80,963;80,849;80,872;14869,11
2011-06-27 23:00:00;80,872;80,918;80,717;80,776;11110,79
2011-06-28 03:00:00;80,777;80,838;80,736;80,808;9045,8
2011-06-28 07:00:00;80,807;80,861;80,726;80,797;21231,79
2011-06-28 11:00:00;80,799;80,919;80,76;80,783;27316,28
2011-06-28 15:00:00;80,787;80,998;80,657;80,953;32373,35
2011-06-28 19:00:00;80,953;81,264;80,953;81,103;19821,64
2011-06-28 23:00:00;81,098;81,124;80,931;81,022;12104,45
2011-06-29 03:00:00;81,019;81,076;80,961;81,061;7675,82
2011-06-29 07:00:00;81,064;81,113;80,989;81,107;19478,19
2011-06-29 11:00:00;81,108;81,181;80,958;81,014;30116,06
2011-06-29 15:00:00;81,016;81,031;80,554;80,823;30376,7
2011-06-29 19:00:00;80,825;80,926;80,733;80,757;14546,91
2011-06-29 23:00:00;80,758;80,863;80,59;80,655;13138,96
2011-06-30 03:00:00;80,653;80,67;80,327;80,368;17586,42
2011-06-30 07:00:00;80,366;80,45;80,306;80,389;22437,3
2011-06-30 11:00:00;80,389;80,46;80,26;80,287;22217,94
2011-06-30 15:00:00;80,289;80,852;80,272;80,551;39317,18
2011-06-30 19:00:00;80,55;80,653;80,408;80,559;13790,14
2011-06-30 23:00:00;80,546;80,88;80,494;80,859;11805,74
2011-07-01 03:00:00;80,86;80,86;80,681;80,728;10456,04
2011-07-01 07:00:00;80,735;80,799;80,551;80,705;24597,77
2011-07-01 11:00:00;80,705;80,809;80,65;80,731;24974,85
2011-07-01 15:00:00;80,732;81,146;80,721;80,841;23825
2011-07-01 19:00:00;80,839;80,901;80,78;80,805;9231,52
2011-07-03 23:00:00;80,793;80,902;80,706;80,766;8982,72
2011-07-04 03:00:00;80,766;80,823;80,697;80,737;8538,25
2011-07-04 07:00:00;80,736;80,769;80,53;80,584;18692,85
2011-07-04 11:00:00;80,584;80,806;80,552;80,761;13643,88
2011-07-04 15:00:00;80,762;80,852;80,721;80,768;12755,06
2011-07-04 19:00:00;80,772;80,836;80,719;80,776;4657,3
2011-07-04 23:00:00;80,776;80,862;80,701;80,823;6999,28
2011-07-05 03:00:00;80,821;81,098;80,82;81,074;15895,42
2011-07-05 07:00:00;81,074;81,18;80,99;81,103;21016,5
2011-07-05 11:00:00;81,102;81,182;81,031;81,069;16793,29
2011-07-05 15:00:00;81,069;81,149;80,981;81,133;17056,11
2011-07-05 19:00:00;81,133;81,158;81,015;81,055;12446,79
2011-07-05 23:00:00;81,056;81,118;80,882;80,917;8139,44
2011-07-06 03:00:00;80,918;80,95;80,797;80,839;8629,7
2011-07-06 07:00:00;80,838;80,975;80,79;80,959;21695,76
2011-07-06 11:00:00;80,959;81,098;80,91;80,919;20167,39
2011-07-06 15:00:00;80,919;80,949;80,765;80,936;18788,75
2011-07-06 19:00:00;80,936;80,979;80,859;80,904;9583,97
2011-07-06 23:00:00;80,901;81,009;80,865;80,965;9958,53
2011-07-07 03:00:00;80,966;80,976;80,79;80,92;14892,75
2011-07-07 07:00:00;80,921;80,995;80,882;80,926;16198,77
2011-07-07 11:00:00;80,927;81,408;80,919;81,26;22495,34
2011-07-07 15:00:00;81,26;81,346;81,181;81,211;20296,06
2011-07-07 19:00:00;81,211;81,256;81,181;81,223;7591,52
2011-07-07 23:00:00;81,223;81,315;81,204;81,276;8744,8
2011-07-08 03:00:00;81,276;81,298;81,213;81,275;9390,11
2011-07-08 07:00:00;81,275;81,371;81,243;81,349;15791,86
2011-07-08 11:00:00;81,35;81,47;80,56;80,625;24141,93
2011-07-08 15:00:00;80,625;80,712;80,498;80,656;26545,43
2011-07-08 19:00:00;80,656;80,679;80,544;80,589;7916,85
2011-07-10 23:00:00;80,534;80,746;80,492;80,679;7884,09
2011-07-11 03:00:00;80,68;80,777;80,676;80,766;7080,6
2011-07-11 07:00:00;80,766;80,826;80,72;80,764;14507,21
2011-07-11 11:00:00;80,764;80,779;80,324;80,398;24305,74
2011-07-11 15:00:00;80,398;80,472;80,31;80,319;21020,17
2011-07-11 19:00:00;80,319;80,369;80,1;80,246;13990,7
2011-07-11 23:00:00;80,246;80,37;80,141;80,232;9484,04
2011-07-12 03:00:00;80,233;80,243;80,059;80,091;12440,75
2011-07-12 07:00:00;80,092;80,178;79,171;79,628;37375,01
2011-07-12 11:00:00;79,627;79,855;79,531;79,8;33974,37
2011-07-12 15:00:00;79,799;79,856;79,473;79,55;23355,98
2011-07-12 19:00:00;79,552;79,575;79,227;79,231;16556,85
2011-07-12 23:00:00;79,227;79,536;78,486;79,497;17901,43
2011-07-13 03:00:00;79,497;79,549;79,334;79,486;14284,2
2011-07-13 07:00:00;79,485;79,568;79,232;79,3;20052,25
2011-07-13 11:00:00;79,295;79,368;79,149;79,282;20100,98
2011-07-13 15:00:00;79,282;79,337;78,886;79,002;29453,02
2011-07-13 19:00:00;79,001;79,029;78,946;78,951;11351,74
2011-07-13 23:00:00;78,951;79,089;78,609;78,74;20264,17
