Time (CAT);Open;High;Low;Close;Volume 
2014-02-12 00:00:00;102,643;102,688;102,228;102,535;106839,13
2014-02-13 00:00:00;102,533;102,574;101,7;102,177;116538,01
2014-02-14 00:00:00;102,176;102,414;101,572;101,82;121081,76
2014-02-17 00:00:00;101,645;101,99;101,39;101,934;73542,51
2014-02-18 00:00:00;101,934;102,746;101,764;102,363;120640,74
2014-02-19 00:00:00;102,364;102,471;101,854;102,31;94025,06
2014-02-20 00:00:00;102,309;102,422;101,671;102,281;123975,03
2014-02-21 00:00:00;102,285;102,831;102,271;102,529;97093,98
2014-02-24 00:00:00;102,493;102,684;102,169;102,507;81616,45
2014-02-25 00:00:00;102,509;102,63;102,01;102,241;87586,61
2014-02-26 00:00:00;102,241;102,614;102,104;102,383;94891,74
2014-02-27 00:00:00;102,384;102,449;101,726;102,13;109751,67
2014-02-28 00:00:00;102,13;102,297;101,559;101,845;108761,99
2014-03-03 00:00:00;101,504;101,698;101,203;101,446;105540,41
2014-03-04 00:00:00;101,452;102,29;101,402;102,214;99760,26
2014-03-05 00:00:00;102,22;102,553;102,121;102,304;94393,86
2014-03-06 00:00:00;102,307;103,171;102,273;103,07;99203,7
2014-03-07 00:00:00;103,07;103,765;102,844;103,278;100834,73
2014-03-09 23:00:00;103,05;103,409;102,939;103,271;94752,09
2014-03-10 23:00:00;103,269;103,429;102,849;103,025;86656,04
2014-03-11 23:00:00;103,027;103,103;102,552;102,755;95351,16
2014-03-12 23:00:00;102,752;102,865;101,543;101,845;119589,05
2014-03-13 23:00:00;101,843;101,885;101,212;101,382;121501,8
2014-03-16 23:00:00;101,282;101,873;101,282;101,773;87065,6
2014-03-17 23:00:00;101,774;101,944;101,282;101,449;98802,8
2014-03-18 23:00:00;101,448;102,685;101,3;102,321;91450,42
2014-03-19 23:00:00;102,323;102,55;102,215;102,391;90754,52
2014-03-20 23:00:00;102,394;102,458;102,018;102,301;63154,31
2014-03-23 23:00:00;102,17;102,65;102,115;102,246;84004,25
2014-03-24 23:00:00;102,25;102,489;102,099;102,259;77468,08
2014-03-25 23:00:00;102,264;102,477;101,875;102,063;82995,61
2014-03-26 23:00:00;102,063;102,435;101,724;102,184;102505,32
2014-03-27 23:00:00;102,186;102,981;102,037;102,84;77887,85
2014-03-30 23:00:00;102,955;103,439;102,797;103,228;78412,78
2014-03-31 23:00:00;103,228;103,713;103,091;103,65;64928,13
2014-04-01 23:00:00;103,651;103,938;103,588;103,886;64954,87
2014-04-02 23:00:00;103,888;104,115;103,815;103,927;69030,46
2014-04-03 23:00:00;103,93;104,131;103,201;103,35;79510,29
2014-04-06 23:00:00;103,291;103,393;102,998;103,099;79702,55
2014-04-07 23:00:00;103,1;103,12;101,552;101,813;122192,13
2014-04-08 23:00:00;101,812;102,161;101,722;101,997;88621,64
2014-04-09 23:00:00;101,998;102,139;101,333;101,536;113324,15
2014-04-10 23:00:00;101,539;101,875;101,327;101,641;109994,07
2014-04-13 23:00:00;101,644;102,015;101,42;101,849;83302,35
2014-04-14 23:00:00;101,848;101,996;101,505;101,924;104567,2
2014-04-15 23:00:00;101,925;102,367;101,812;102,234;87422,48
2014-04-16 23:00:00;102,232;102,47;101,867;102,398;71891,25
2014-04-17 23:00:00;102,401;102,573;102,32;102,487;23371,22
2014-04-20 23:00:00;102,488;102,711;102,397;102,612;38415,68
2014-04-21 23:00:00;102,618;102,726;102,416;102,618;63964,52
2014-04-22 23:00:00;102,619;102,694;102,17;102,542;73708,08
2014-04-23 23:00:00;102,543;102,648;102,09;102,317;81624,49
2014-04-24 23:00:00;102,317;102,5;101,965;102,197;82601,39
2014-04-27 23:00:00;102,204;102,627;102,049;102,493;77568,09
2014-04-28 23:00:00;102,492;102,783;102,471;102,641;63453,21
2014-04-29 23:00:00;102,639;102,669;102,034;102,243;98008,15
2014-04-30 23:00:00;102,255;102,373;102,135;102,328;49999,7
2014-05-01 23:00:00;102,332;103,023;102,133;102,196;83699,86
2014-05-04 23:00:00;102,205;102,268;101,867;102,145;50512,48
2014-05-05 23:00:00;102,148;102,191;101,499;101,689;65507,62
2014-05-06 23:00:00;101,69;102,009;101,435;101,906;89086,68
2014-05-07 23:00:00;101,904;101,958;101,463;101,662;91774,17
2014-05-08 23:00:00;101,664;101,866;101,55;101,866;72385,79
2014-05-11 23:00:00;101,902;102,187;101,813;102,125;58145,27
