Time (CAT);Open;High;Low;Close;Volume 
2013-03-10 23:00:00;95,982;96,707;95,076;95,28;773805,96
2013-03-17 23:00:00;94,318;96,129;94,069;94,412;894677,68
2013-03-24 23:00:00;94,378;94,96;93,524;94,15;762084,76
2013-03-31 23:00:00;94,258;97,831;92,568;97,568;949501,49
2013-04-07 23:00:00;98,182;99,946;98,073;98,34;1021891,14
2013-04-14 23:00:00;98,187;99,682;95,794;99,482;1222063,2
2013-04-21 23:00:00;99,802;99,883;97,555;98;1046170,59
2013-04-28 23:00:00;97,942;99,265;97,005;98,956;711906,37
2013-05-05 23:00:00;99,177;101,982;98,58;101,607;752635,23
2013-05-12 23:00:00;101,872;103,305;101,26;103,141;863258,78
2013-05-19 23:00:00;102,749;103,732;100,661;101,234;1062588,52
2013-05-26 23:00:00;101,049;102,524;100,22;100,431;1013977,97
2013-06-02 23:00:00;100,44;100,72;94,99;97,52;1220123,87
2013-06-09 23:00:00;97,848;99,282;93,79;94,065;1259673,22
2013-06-16 23:00:00;94,18;98,286;94,093;97,872;741279,37
2013-06-23 23:00:00;97,931;99,449;96,96;99,118;664653,74
2013-06-30 23:00:00;99,226;101,224;99,175;101,17;478836,9
2013-07-07 23:00:00;101,258;101,532;98,235;99,168;545185,27
2013-07-14 23:00:00;99,347;100,865;98,893;100,541;539464,64
2013-07-21 23:00:00;100,413;100,619;97,958;98,223;601008,01
2013-07-28 23:00:00;98,071;99,947;97,583;98,892;612824,91
2013-08-04 23:00:00;98,931;99,149;95,806;96,178;574701,75
2013-08-11 23:00:00;96,298;98,647;95,924;97,518;588620,81
2013-08-18 23:00:00;97,588;99,149;96,911;98,672;578354,77
2013-08-25 23:00:00;98,596;98,841;96,813;98,12;521239,44
2013-09-01 23:00:00;98,422;100,224;98,265;99,08;525007,13
2013-09-08 23:00:00;99,705;100,606;99,012;99,358;532744,37
2013-09-15 23:00:00;98,649;99,667;97,759;99,31;506265,76
2013-09-22 23:00:00;99,248;99,357;98,096;98,203;424351,71
2013-09-29 23:00:00;97,674;98,724;96,929;97,462;550512,71
2013-10-06 23:00:00;97,215;98,592;96,567;98,54;493660,03
2013-10-13 23:00:00;98,24;99,004;97,557;97,733;470892,58
2013-10-20 23:00:00;97,824;98,482;96,942;97,397;498739,67
2013-10-27 23:00:00;97,729;98,85;97,448;98,661;534718,21
2013-11-04 00:00:00;98,822;99,409;97,608;99,056;539265,28
2013-11-11 00:00:00;99,203;100,43;98,923;100,158;554057,57
2013-11-18 00:00:00;100,266;101,352;99,569;101,262;579545,55
2013-11-25 00:00:00;101,299;102,609;101,139;102,389;523079,96
2013-12-02 00:00:00;102,496;103,377;101,62;102,892;694228,33
2013-12-09 00:00:00;103,014;103,919;102,153;103,166;610453,55
2013-12-16 00:00:00;103,277;104,634;102,498;104,028;565841,36
2013-12-23 00:00:00;103,99;105,181;103,77;105,139;287111,75
2013-12-30 00:00:00;105,201;105,441;104,074;104,846;343016,37
2014-01-06 00:00:00;104,828;105,335;103,827;104,162;620969,9
2014-01-13 00:00:00;103,982;104,92;102,853;104,254;543450,75
2014-01-20 00:00:00;104,214;104,841;102,001;102,33;646129,09
2014-01-27 00:00:00;102,224;103,442;101,767;101,94;822263,99
2014-02-03 00:00:00;101,998;102,579;100,753;102,292;763125,03
2014-02-10 00:00:00;102,531;102,7;101,568;101,785;530861,96
2014-02-17 00:00:00;101,633;102,827;101,383;102,463;503289,32
2014-02-24 00:00:00;102,471;102,68;101,552;101,733;466877,63
2014-03-03 00:00:00;101,482;103,762;101,2;103,243;497804,42
2014-03-09 23:00:00;103,031;103,427;101,208;101,337;503577,23
2014-03-16 23:00:00;101,267;102,682;101,264;102,221;427126,66
2014-03-23 23:00:00;102,14;102,979;101,719;102,819;430355,96
2014-03-30 23:00:00;102,928;104,127;102,794;103,23;351986
2014-04-06 23:00:00;103,273;103,39;101,323;101,614;508841,63
2014-04-13 23:00:00;101,62;102,571;101,417;102,372;374336,57
2014-04-20 23:00:00;102,431;102,723;101,962;102,162;329859,11
2014-04-27 23:00:00;102,18;103,02;102,031;102,174;368824,28
2014-05-04 23:00:00;102,139;102,258;101,431;101,844;364041,26
2014-05-11 23:00:00;101,849;102,363;101,313;101,453;395826,32
2014-05-18 23:00:00;101,53;102,004;100,821;101,904;428032,27
2014-05-25 23:00:00;101,916;102,14;101,429;101,756;377944,61
2014-06-01 23:00:00;101,854;102,796;101,755;102,459;486142,87
2014-06-08 23:00:00;102,497;102,649;101,606;102,015;442476,13
2014-06-15 23:00:00;102,07;102,352;101,721;102,061;367979,31
2014-06-22 23:00:00;102,081;102,167;101,314;101,376;331424,17
2014-06-29 23:00:00;101,383;102,266;101,237;102,004;358538,03
2014-07-06 23:00:00;102,053;102,201;101,067;101,251;383553,49
2014-07-13 23:00:00;101,311;101,792;101,087;101,325;385515,54
2014-07-20 23:00:00;101,325;101,938;101,197;101,81;334704,12
2014-07-27 23:00:00;101,769;103,084;101,749;102,588;486673,17
2014-08-03 23:00:00;102,546;102,925;101,51;102,015;433829,12
2014-08-10 23:00:00;102,181;102,716;102,024;102,337;378873,5
2014-08-17 23:00:00;102,325;104,193;102,247;103,85;376688,04
2014-08-24 23:00:00;104,264;104,272;103,555;104,076;364821,6
2014-08-31 23:00:00;104,165;105,705;104,101;105,084;447478,35
2014-09-07 23:00:00;104,981;107,394;104,981;107,334;611652,72
2014-09-14 23:00:00;107,2;109,459;106,81;109,01;538568,97
2014-09-21 23:00:00;109,026;109,533;108,251;109,161;501696,65
2014-09-28 23:00:00;109,288;110,087;108,008;109,746;606628,76
2014-10-05 23:00:00;109,707;109,849;107,528;107,645;680082,04
2014-10-12 23:00:00;107,548;107,604;105,195;106,867;801022,9
2014-10-19 23:00:00;107,203;108,352;106,251;108,156;532302,18
2014-10-26 23:00:00;108,339;112,474;107,606;112,299;507037,35
2014-11-03 00:00:00;112,699;115,572;112,57;114,571;691311,14
2014-11-10 00:00:00;114,502;116,825;113,857;116,231;659487,49
2014-11-17 00:00:00;116,451;118,978;115,453;117,766;711985,29
2014-11-24 00:00:00;117,866;118,772;117,237;118,576;465201,82
2014-12-01 00:00:00;118,738;121,688;117,86;121,425;581374,6
2014-12-08 00:00:00;121,59;121,843;117,439;118,716;751483,64
2014-12-15 00:00:00;118,66;119,621;115,567;119,554;794138,86
2014-12-22 00:00:00;119,522;120,826;119,312;120,317;273480,63
2014-12-29 00:00:00;120,318;120,741;118,863;120,445;315869,52
2015-01-05 00:00:00;120,499;120,645;118,05;118,464;728297,34
2015-01-12 00:00:00;118,321;119,318;115,853;117,58;969545,28
2015-01-19 00:00:00;117,455;118,867;116,921;117,737;729791,34
2015-01-26 00:00:00;117,514;118,659;117,251;117,501;694662,5
2015-02-02 00:00:00;116,93;119,221;116,876;119,095;658424,51
2015-02-09 00:00:00;119,015;120,476;118,332;118,734;640859,03
2015-02-16 00:00:00;118,443;119,415;118,235;118,966;531008,93
2015-02-23 00:00:00;119,069;119,838;118,625;119,57;513483,04
2015-03-02 00:00:00;119,701;121,28;119,379;120,827;537042,62
2015-03-08 23:00:00;120,827;122,025;120,612;121,368;698418,71
2015-03-15 23:00:00;121,348;121,519;119,293;120,023;579486,94
2015-03-22 23:00:00;119,808;120,165;118,328;119,123;645720,51
2015-03-29 23:00:00;119,213;120,364;118,722;118,926;511580,27
2015-04-05 23:00:00;118,832;120,738;118,798;120,169;482183,7
2015-04-12 23:00:00;120,335;120,844;118,568;118,837;547963,12
2015-04-19 23:00:00;119,001;120,093;118,529;118,972;585896,13
2015-04-26 23:00:00;118,861;120,286;118,497;120,19;558184,11
2015-05-03 23:00:00;120,221;120,505;119,056;119,758;512465,83
2015-05-10 23:00:00;119,632;120,276;118,886;119,206;566673,14
2015-05-17 23:00:00;119,269;121,571;119,245;121,528;563053,36
2015-05-24 23:00:00;121,483;124,46;121,446;124,135;568927,29
2015-05-31 23:00:00;124,067;125,853;123,753;125,574;663012,57
2015-06-07 23:00:00;125,587;125,678;122,456;123,377;676632,99
2015-06-14 23:00:00;123,188;124,438;122,478;122,658;540017,64
2015-06-21 23:00:00;122,947;124,375;122,56;123,831;513313,1
2015-06-28 23:00:00;122,68;123,718;121,942;122,78;584506,15
2015-07-05 23:00:00;121,869;122,928;120,414;122,763;658303,8
2015-07-12 23:00:00;122,163;124,23;122,163;123,99;488675,69
2015-07-19 23:00:00;124,014;124,477;123,572;123,78;371870,19
2015-07-26 23:00:00;123,718;124,582;123,009;123,854;426894,82
2015-08-02 23:00:00;123,882;125,07;123,8;124,211;386448,56
2015-08-09 23:00:00;124,151;125,28;123,792;124,282;433400,09
2015-08-16 23:00:00;124,204;124,574;121,814;121,95;521900,87
2015-08-23 23:00:00;121,841;122,022;116,182;121,695;1023069,46
2015-08-30 23:00:00;121,615;121,64;118,59;118,997;782493,73
2015-09-06 23:00:00;118,913;121,325;118,798;120,565;774558,45
